Date,NG_CT_pair,LE_SB_pair,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_SB_pair_NG_CT_pair_pair,sharpe,CAGR
2016-03-18,5.437475164167374,5.156263874529783,-0.9129386994070087,0.7301223287548106,0.7915690973751699,False,False,0.0,False,False,0.0,0.0,0.0008756200763314439,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-19,5.417566639314349,5.156263874529783,-0.9127212836093784,0.7113348571248581,0.1520677745888492,False,False,0.0,False,False,0.0,0.0,-0.0018557729863572048,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-20,5.4182017255458845,5.156263874529783,-0.9125262117243907,0.7129757854698928,0.20362749442434677,False,False,0.0,False,False,0.0,0.0,0.0001620921687036036,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-21,5.418851805649568,5.156263874529783,-0.9123529772478611,0.7145191082467282,0.25175258310846754,False,False,0.0,False,False,0.0,0.0,0.00015245427724546357,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-22,5.427470544023288,5.156263874529783,-0.9122237531530303,0.7238041601523442,0.5608068864816861,False,False,0.0,False,False,0.0,0.0,0.0009164866659783586,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-23,5.4322360392679006,5.156263874529783,-0.9121435641693204,0.7289831309567951,0.7293445039833258,False,False,0.0,False,False,0.0,0.0,0.0005109739481969462,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-24,5.425690064080227,5.156263874529783,-0.9120832059144811,0.7227483788580784,0.512511497151373,False,False,0.0,False,False,0.0,0.0,-0.00061555719005641,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-25,5.4195110397319635,5.156263874529783,-0.9120213048788187,0.7168885325837975,0.3096069720248324,False,False,0.0,False,False,0.0,0.0,-0.0005789141436576947,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-26,5.419883409814321,5.156263874529783,-0.9119602202133057,0.7175758713202267,0.3286588692847351,False,False,0.0,False,False,0.0,0.0,6.790414643818771e-05,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-27,5.4202378207164505,5.156263874529783,-0.9119016774595541,0.7182321441086419,0.3466335811859603,False,False,0.0,False,False,0.0,0.0,6.483471659110558e-05,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-28,5.4205755346685205,5.156263874529783,-0.9118469000499386,0.7188523048390527,0.36335901796973014,False,False,0.0,False,False,0.0,0.0,6.126678779586292e-05,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-29,5.426437132354613,5.156263874529783,-0.9118122368114141,0.7248926353297227,0.5629315932234994,False,False,0.0,False,False,0.0,0.0,0.0005964002218515135,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-30,5.425447930521925,5.156263874529783,-0.9117906615237791,0.7240146813732506,0.5278850230039892,False,False,0.0,False,False,0.0,0.0,-8.669539425766349e-05,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-03-31,5.439898843613403,5.156263874529783,-0.9118196773299199,0.7383159813117333,1.003685156884779,False,False,0.0,False,False,0.0,0.0,0.00141017854719802,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-01,5.445294178434135,5.156263874529783,-0.9119018698671069,0.7432875097222125,1.1603583162925115,False,False,0.0,False,False,0.0,0.0,0.0004899360416496826,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-02,5.452541634215675,5.150345843377843,-0.9120577187178246,0.7551289536966488,1.541184061066596,False,False,0.0,False,False,0.0,0.0,0.001166649977650252,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-03,5.452394451808977,5.150720952604742,-0.9122657289796882,0.7535682472100573,1.4709735146851652,False,False,0.0,False,False,0.0,0.0,-0.0001537456961499768,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-04,5.452116056547999,5.151063350397983,-0.9125087474360076,0.7517256907128109,1.3932106572626437,False,False,0.0,False,False,0.0,0.0,-0.0001814878435520247,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-05,5.452579681947098,5.1350464955715855,-0.9128115912072027,0.7652497194014289,1.8163690803427948,False,False,0.0,False,False,0.0,0.0,0.0013337425246154188,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-06,5.44791915776725,5.146288500362648,-0.9131180769795542,0.7487500987341145,1.2616061694679912,False,False,0.0,False,False,0.0,0.0,-0.0016260448628007684,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-07,5.440755018345095,5.141062210280526,-0.9134151503200203,0.7448309067371319,1.1240476102198869,False,False,0.0,False,False,0.0,0.0,-0.00038663471011937716,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-08,5.45144987211143,5.13482018860496,-0.9137424055135586,0.75954692109595,1.5873409885870569,False,False,0.0,False,False,0.0,0.0,0.0014508037544810112,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-09,5.462238632159746,5.136843329580176,-0.9141118345761805,0.7665893522267959,1.7931386949595072,False,False,0.0,False,False,0.0,0.0,0.0006932967947462855,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-10,5.461334644865499,5.138521716970297,-0.9145024116426896,0.7621441424178279,1.6340247718735337,False,False,0.0,False,False,0.0,0.0,-0.000437498037209572,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-11,5.460317102989916,5.140042126913986,-0.9148980185996048,0.7577027455578111,1.4971642864946535,False,False,0.0,False,False,0.0,0.0,-0.00043701926725700214,-0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-12,5.46242660357987,5.140042126913986,-0.9152974983257515,0.7577589035265238,1.5143184862019696,False,False,0.0,False,False,0.0,0.0,5.52350229431266e-06,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-13,5.477744161565743,5.140042126913986,-0.9157344455229494,0.7708305345115631,1.9347185239308071,False,False,0.0,False,False,0.0,0.0,0.0012834629553921087,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-14,5.483899653257399,5.140042126913986,-0.9162102248705305,0.7745405003135364,2.0413184262741257,False,False,0.0,True,False,-1.0,-1.0,0.00036396268087652395,0.0,2.2859808743722168,2.2859808743722168,1.4956744926273542,0.0207
2016-04-15,5.470934640672578,5.140042126913986,-0.916675224149141,0.7591853718476722,1.5414642771776472,False,False,0.0,False,False,-1.0,-1.0,-0.0015079647568694836,0.0015079647568694836,2.2874888391290864,2.2874888391290864,1.4956744926273542,0.0207
2016-04-16,5.452296811887816,5.140042126913986,-0.9170764483737622,0.7384852336460188,0.8893811951530718,False,False,0.0,False,False,-1.0,-1.0,-0.002036190979603502,0.002036190979603502,2.28952503010869,2.28952503010869,1.4956744926273542,0.0207
2016-04-17,5.450955002612889,5.141572318240692,-0.9174162166484292,0.7339931787882206,0.7503026820499737,False,False,0.0,False,False,-1.0,-1.0,-0.00044178713638947867,0.00044178713638947867,2.2899668172450793,2.2899668172450793,1.4956744926273542,0.0207
2016-04-18,5.449719373151045,5.142966305471751,-0.9176974797039945,0.7300321564170549,0.6277702122556842,False,False,0.0,False,False,-1.0,-1.0,-0.0003895037862981609,0.0003895037862981609,2.2903563210313775,2.2903563210313775,1.4956744926273542,0.0207
2016-04-19,5.4815831810463775,5.124625580661271,-0.9180528218654225,0.7769062057165685,2.1320344187216285,False,False,0.0,True,False,-1.0,-1.0,0.004601693710932016,-0.004601693710932016,2.285754627320445,2.285754627320445,1.4956744926273542,0.0207
2016-04-20,5.50185454703431,5.129155208090492,-0.9185023435651908,0.790713467893589,2.5340875654326913,False,False,0.0,False,False,-1.0,-1.0,0.0013519306854135541,-0.0013519306854135541,2.284402696635032,2.284402696635032,1.4956744926273542,0.0207
2016-04-21,5.50185454703431,5.114915489907415,-0.9190437340323856,0.8010235159297103,2.800434325479774,False,False,0.0,False,False,-1.0,-1.0,0.001010522960563685,-0.001010522960563685,2.2833921736744682,2.2833921736744682,1.4956744926273542,0.0207
2016-04-22,5.50185454703431,5.120414955840206,-0.919636571535642,0.7929336922055965,2.5019270588829086,False,False,0.0,False,False,-1.0,-1.0,-0.0007922829957299597,0.0007922829957299597,2.2841844566701983,2.2841844566701983,1.4956744926273542,0.0207
2016-04-23,5.50185454703431,5.1259946062841015,-0.920250861069044,0.7846535967660904,2.21601721827751,False,False,0.0,False,False,-1.0,-1.0,-0.000810260345654429,0.000810260345654429,2.284994717015852,2.284994717015852,1.4956744926273542,0.0207
2016-04-24,5.50185454703431,5.128765279290708,-0.9208685516762586,0.7789358924063938,2.0300792869553534,False,False,0.0,False,False,-1.0,-1.0,-0.0005592010939437777,0.0005592010939437777,2.2855539181097964,2.2855539181097964,1.4956744926273542,0.0207
2016-04-25,5.50185454703431,5.128765279290708,-0.9214804689508179,0.7757975123348357,1.9245641362553854,False,False,0.0,False,False,-1.0,-1.0,-0.00030684466193108077,0.00030684466193108077,2.285860762771727,2.285860762771727,1.4956744926273542,0.0207
2016-04-26,5.50185454703431,5.128765279290708,-0.9220795544314465,0.7727249435224604,1.822536321014484,False,False,0.0,False,False,-1.0,-1.0,-0.00030031996601337363,0.00030031996601337363,2.2861610827377405,2.2861610827377405,1.4956744926273542,0.0207
2016-04-27,5.50185454703431,5.128765279290708,-0.9226604898887826,0.7697454619193662,1.7245808385544792,False,False,0.0,False,False,-1.0,-1.0,-0.00029113662215237026,0.00029113662215237026,2.2864522193598926,2.2864522193598926,1.4956744926273542,0.0207
2016-04-28,5.50185454703431,5.128765279290708,-0.9232193833974788,0.7668790282971445,1.6310979587587204,False,False,0.0,False,False,-1.0,-1.0,-0.0002800118399743796,0.0002800118399743796,2.286732231199867,2.286732231199867,1.4956744926273542,0.0207
2016-04-29,5.50185454703431,5.128765279290708,-0.9237535066084749,0.7641396357177239,1.5423386548331632,False,False,0.0,False,False,-1.0,-1.0,-0.0002675300549073827,0.0002675300549073827,2.2869997612547746,2.2869997612547746,1.4956744926273542,0.0207
2016-04-30,5.50185454703431,5.128765279290708,-0.9242610747736818,0.7615364377351375,1.4584338892502438,False,False,0.0,False,False,-1.0,-1.0,-0.00025416462599629297,0.00025416462599629297,2.287253925880771,2.287253925880771,1.4956744926273542,0.0207
2016-05-01,5.50185454703431,5.133551758529703,-0.9247315775048293,0.7546971311664477,1.2513046056900419,False,False,0.0,False,False,-1.0,-1.0,-0.0006673137462855636,0.0006673137462855636,2.2879212396270567,2.2879212396270567,1.4956744926273542,0.0207
2016-05-02,5.50185454703431,5.1379076780140105,-0.9251576106111259,0.7484801561023104,1.0647465213114822,False,False,0.0,False,False,-1.0,-1.0,-0.0006062248928564712,0.0006062248928564712,2.288527464519913,2.288527464519913,1.4956744926273542,0.0207
2016-05-03,5.50185454703431,5.123316989231926,-0.9255732701689244,0.7598492871989082,1.3943822819237779,False,False,0.0,False,False,-1.0,-1.0,0.0011098483687734017,-0.0011098483687734017,2.2874176161511395,2.2874176161511395,1.4956744926273542,0.0207
2016-05-04,5.50185454703431,5.127617042507156,-0.9259663118381002,0.753853905665772,1.2117469306950355,False,False,0.0,False,False,-1.0,-1.0,-0.0005849235353021979,0.0005849235353021979,2.288002539686442,2.288002539686442,1.4956744926273542,0.0207
2016-05-05,5.50185454703431,5.126300963297346,-0.9263392263518025,0.7531608786469457,1.1857474525367906,False,False,0.0,False,False,-1.0,-1.0,-6.760877606367449e-05,6.760877606367449e-05,2.2880701484625052,2.2880701484625052,1.4956744926273542,0.0207
2016-05-06,5.50185454703431,5.162591669916532,-0.9266114605134644,0.7181379397383072,0.15758290807433886,False,False,0.0,False,False,-1.0,-1.0,-0.0034050553326728525,0.0034050553326728525,2.291475203795178,2.291475203795178,1.4956744926273542,0.0207
2016-05-07,5.50185454703431,5.153196950180973,-0.9268199686986128,0.7257687109697937,0.3835605659858668,False,False,0.0,False,False,-1.0,-1.0,0.0007424416709046701,-0.0007424416709046701,2.2907327621242732,2.2907327621242732,1.4956744926273542,0.0207
