Date,Asset_pair.1,Asset_1_sym,Asset_2_sym,spread,portfolio_rets,cummulative_rets,CAGR,numunitsshort_New,numUnits_New,zScore_New,hedge_ratio_New,longexit_New,shortexit_New,feature01,sharpe_New,FAC1_Asset2,FAC2_short,FAC3_hedge,FAC4_cumret_feat1,FAC5_portRisk_shortexit,FAC6_Sharpe,FAC7_longexit,FAC8_Asset1_portRisk
1/15/1996,DC_CL,DC,CL,1.11559867406812,.00242403298055595,1.71646674238556,.0556,0,1,28.201982730708,.118257063205203,1,1,.15161226707916,.708904958543386,.772730092709145,1.67605637888191,-.310925377274349,-1.27166066872736,-.097436157176314,1.4549431891869,-.25985966737615,-1.22366929903764
1/16/1996,DC_CL,DC,CL,1.33136435873078,.00609014941606514,1.72255689180163,.0556,0,1,31.4832924470158,.118357093598369,1,1,.151648706415126,.708904958543386,.756746109124472,1.54778625038514,-.353928411204051,-1.27094872124107,.023372774457105,1.50427238253743,-.0930318759981947,-1.5462041750266
1/17/1996,DC_CL,DC,CL,1.09483742144672,-.00675691583357979,1.71579997596805,.0556,0,1,28.2579601779742,.118466123328741,1,1,.151685145751092,.708904958543386,.784865822154181,1.68496791253758,-.176647317929838,-1.25441592246846,-.557830819159871,1.29527637150995,-.559003710326385,-.415484065351101
1/18/1996,DC_CL,DC,CL,1.64510133263688,.0155464186057283,1.73134639457378,.0556,0,1,36.22597267619,.118559753884473,1,1,.151721585087058,.708904958543386,.595595605387396,1.33375233064847,-.487126944916925,-1.223435695727,.423107315873067,1.13708386834913,.247158715797041,-2.36350836442377
1/19/1996,DC_CL,DC,CL,2.3539665868761,.0196874020002671,1.75103379657404,.0556,0,0,46.3790424834811,.1186167606361,0,1,.151758024423024,.708904958543386,.520941701190542,.294026842089748,-.620846384704545,-1.19330797337717,.0392610815483093,1.22921897247341,3.58493254516843,-3.12948674141598
1/20/1996,DC_CL,DC,CL,2.14995420465152,0,1.75103379657404,.0556,0,0,43.4354574378622,.118658746025758,1,0,.15179446375899,.708904958543386,.67640182268428,.362581259574406,-.205919842347636,-1.15223139040077,2.39652668528434,1.4049631129372,-.98865360802303,-1.30210417872614
1/21/1996,DC_CL,DC,CL,2.17703821048541,0,1.75103379657404,.0556,0,0,43.8091540301621,.118690344934031,0,1,.151830903094956,.708904958543386,.660638100958167,.390199925674556,-.14911868751552,-1.16301831362064,-.710506249281002,1.23613933864264,3.08074585986501,-1.28673777330449
1/22/1996,DC_CL,DC,CL,2.19789625064622,0,1.75103379657404,.0556,0,0,44.0938648407491,.118714680608609,1,1,.151867342430922,.708904958543386,.624291286091524,.228871018679706,.167109938422282,-1.13001179452899,-.205545518537842,1.24596960597269,-.0998379543960135,-.925328867166904
1/23/1996,DC_CL,DC,CL,1.90446176228917,0,1.75103379657404,.0556,0,0,39.8872525663384,.118745676110219,1,0,.151903781766888,.708904958543386,.684108164662217,.498387929248639,-.227791518310472,-1.15901026256369,2.4516762913523,1.4053190872629,-1.05060467339258,-1.3096751008394
1/24/1996,DC_CL,DC,CL,1.39133223129472,0,1.75103379657404,.0556,0,0,32.6138736548279,.11880036463255,1,1,.151940221102854,.708904958543386,.666335230281546,.670124677575332,.0403262162702976,-1.16812418913108,-.0106880393875812,1.26494709592459,-.290127129129892,-.950783570530667
