Date,CT,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_CT_pair,sharpe,CAGR
2008-03-23,73.83,17.03,-2.3653062564120964,33.54883445330199,-1.3580389987492212,False,False,0.0,False,False,0.0,0.0,0.0028962196674990628,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-24,73.83,17.03,-2.3464658250920443,33.86968699868248,-1.2378521460541092,False,False,0.0,False,False,0.0,0.0,0.0028196824221476094,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-25,76.23,17.03,-2.3340424808149707,36.48125655172105,-0.31620925687296214,False,False,0.0,False,False,0.0,0.0,0.02251765690325148,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-26,77.56,17.03,-2.3284927936891475,37.905767723473815,0.18480437104453193,False,True,0.0,False,False,0.0,0.0,0.012153056365989104,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-27,77.2,17.03,-2.3259851633685527,37.58847266783355,0.07249445321846705,False,False,0.0,False,False,0.0,0.0,-0.0027162991777172976,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-28,76.19,17.03,-2.3229003887248654,36.631006380015535,-0.26503734384819433,False,False,0.0,False,True,0.0,0.0,-0.008271918898590795,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-29,75.11,17.03,-2.3171799777290056,35.64842497927503,-0.6089059285654036,False,False,0.0,False,False,0.0,0.0,-0.008576135926932724,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-30,75.11,17.03,-2.3102821880741744,35.7658943370968,-0.5641070732433658,False,False,0.0,False,False,0.0,0.0,0.0010263446395514467,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-03-31,75.11,17.03,-2.303026081218133,35.88946583685519,-0.5168088280402017,False,False,0.0,False,False,0.0,0.0,0.0010808267508140286,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-01,72.8,18.0,-2.2849744936075065,31.67045911506488,-1.982403966367053,False,False,0.0,False,False,0.0,0.0,-0.03703171880637488,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-02,73.95,18.0,-2.2645320034974823,33.18842393704532,-1.4395114548914012,False,False,0.0,False,False,0.0,0.0,0.013232882626835935,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-03,73.66,18.0,-2.2430454777522764,33.285181400459024,-1.3953054708659025,False,False,0.0,False,False,0.0,0.0,0.000848490527735112,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-04,73.92,18.0,-2.2225969273689246,33.91325530735936,-1.1696399414580314,False,False,0.0,False,False,0.0,0.0,0.005512962813032127,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-05,74.39,18.0,-2.204726323701464,34.70492617337365,-0.888687466922862,False,False,0.0,False,False,0.0,0.0,0.006939911055569342,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-06,74.39,18.0,-2.1889891682705045,34.98819497113092,-0.7848010183632554,False,False,0.0,False,False,0.0,0.0,0.0024893602635568325,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-07,74.39,18.0,-2.175051261333685,35.23907729599367,-0.6931505435848578,False,False,0.0,False,False,0.0,0.0,0.00220962027512122,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-08,76.35,18.0,-2.1672842774850967,37.33888300526826,0.0372038753752132,False,True,0.0,False,False,0.0,0.0,0.018202023038408028,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-09,75.49,18.0,-2.161023996480817,36.591568063345285,-0.22016267050069002,False,False,0.0,False,True,0.0,0.0,-0.006533133895364664,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-10,77.24,18.0,-2.1599174607274274,38.3614857069063,0.3938923955433218,False,True,0.0,False,False,0.0,0.0,0.015242338005579219,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-11,78.13,18.0,-2.1636028864715944,39.1851480435113,0.6785557048914659,False,False,0.0,False,False,0.0,0.0,0.007035348094321009,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-12,77.69,18.0,-2.168581000794353,38.65554198570164,0.4942676365874486,False,False,0.0,False,False,0.0,0.0,-0.004537232957164673,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-13,77.69,18.0,-2.174014853219861,38.557732642042495,0.4598681852065207,False,False,0.0,False,False,0.0,0.0,-0.0008372491466840308,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-14,77.69,18.0,-2.1794535409931957,38.45983626212248,0.42762914013677567,False,False,0.0,False,False,0.0,0.0,-0.0008372925318466802,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-15,77.53,18.0,-2.1842945278175803,38.212698499283555,0.3394408469821211,False,False,0.0,False,False,0.0,0.0,-0.0021150489541892376,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-16,78.83,18.0,-2.191625380637334,39.38074314852799,0.7406132832033516,False,False,0.0,False,False,0.0,0.0,0.009875312716169636,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-17,77.11,18.0,-2.195967843826502,37.582578811122964,0.11510870574398394,False,False,0.0,False,False,0.0,0.0,-0.015416701767549933,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-18,75.28,18.0,-2.1943736106385114,35.781275008506796,-0.5092315859043347,False,False,0.0,False,True,0.0,0.0,-0.0156937080695893,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-19,74.6,18.0,-2.188219524871489,35.21204855231319,-0.7049260163190837,False,False,0.0,False,False,0.0,0.0,-0.004993742311921825,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-20,74.6,18.0,-2.179969548196562,35.36054813246187,-0.6516140098245901,False,False,0.0,False,False,0.0,0.0,0.0013044649962077493,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-21,74.6,18.0,-2.170981998563294,35.5223240258607,-0.5931786897966584,False,False,0.0,False,False,0.0,0.0,0.0014231104921218502,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-22,73.35,18.0,-2.159124791211514,34.48575375819274,-0.947477025139218,False,False,0.0,False,False,0.0,0.0,-0.009237421293498504,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-23,74.75,18.0,-2.1494833292919804,36.05930007274435,-0.4021454394041528,False,False,0.0,False,False,0.0,0.0,0.013871091376910139,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-24,74.08,18.0,-2.139852841195988,35.562648858472215,-0.5698384126152685,False,False,0.0,False,False,0.0,0.0,-0.0044108605507768555,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-25,72.13,18.0,-2.1261722277550894,33.85889990040839,-1.1506751445441008,False,False,0.0,False,False,0.0,0.0,-0.015432354899787172,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-26,71.44,18.0,-2.1093938134407244,33.47091135806696,-1.2752306240507436,False,False,0.0,False,False,0.0,0.0,-0.0035462185743198715,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-27,71.44,18.0,-2.0917115055650473,33.789192899829146,-1.1576523154358378,False,False,0.0,False,False,0.0,0.0,0.0029175835271796347,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-28,71.44,18.0,-2.0742934003676385,34.10271879338251,-1.0426645364459846,False,False,0.0,False,False,0.0,0.0,0.002882273670343288,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-29,71.61,18.0,-2.058117746074414,34.563880570660544,-0.8783122527338244,False,False,0.0,False,False,0.0,0.0,0.004244231983435927,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-04-30,70.6,18.0,-2.040949079245228,33.86291657358589,-1.1112702568147936,False,False,0.0,False,False,0.0,0.0,-0.0065304923023663496,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-01,71.17,16.76,-2.031393104162134,37.12385157424263,0.00793944681562813,False,True,0.0,False,False,0.0,0.0,0.030992723545261853,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-02,69.25,16.76,-2.021736374889546,35.36569835685121,-0.5943195723232981,False,False,0.0,False,True,0.0,0.0,-0.0170472208506801,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-03,69.56,16.76,-2.0130199760409293,35.82178520155402,-0.4349197265947317,False,False,0.0,False,False,0.0,0.0,0.0044152442091348835,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-04,69.56,16.76,-2.0050871296295125,35.95473970740937,-0.3887506636262274,False,False,0.0,False,False,0.0,0.0,0.0012887526816514397,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-05,69.56,16.76,-1.997837151947882,36.076249333353495,-0.3491425651911441,False,False,0.0,False,False,0.0,0.0,0.0011792042230413372,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-06,69.29,16.76,-1.9906167128668397,35.92726389235177,-0.40203106563151647,False,False,0.0,False,False,0.0,0.0,-0.0014513538231021098,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-07,70.36,16.76,-1.9859818239325433,37.07494463089057,-0.010575625279489135,False,False,0.0,False,False,0.0,0.0,0.011073183708104417,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-08,70.37,16.76,-1.9829041895940138,37.13652578240433,0.008083445685962119,False,True,0.0,False,False,0.0,0.0,0.0005943927264873305,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-09,70.85,16.76,-1.9818134575236062,37.63480645190435,0.1777628754070074,False,False,0.0,False,False,0.0,0.0,0.004788158773468641,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-10,71.55,16.76,-1.983357026067892,38.308936243102124,0.4072477482711842,False,False,0.0,False,False,0.0,0.0,0.0064330847214383435,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-11,71.55,16.76,-1.9862482202598675,38.260479828444616,0.38708034932071955,False,False,0.0,False,False,0.0,0.0,-0.00046219607432594064,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-12,71.55,16.76,-1.9897526788037614,38.20174510324895,0.3641489786890711,False,False,0.0,False,False,0.0,0.0,-0.0005599208990985996,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-13,71.81,16.76,-1.9940340829552747,38.38998876966959,0.4260297178988949,False,False,0.0,False,False,0.0,0.0,0.0017888781367570747,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-14,70.9,16.76,-1.996542233405532,37.43795216812329,0.09650606155584973,False,False,0.0,False,False,0.0,0.0,-0.009122440784987265,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-15,69.99,16.76,-1.9959741379310125,36.537473448276224,-0.213070166092413,False,False,0.0,False,True,0.0,0.0,-0.00870511142626436,-0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-16,70.13,16.76,-1.9940984948380056,36.70890922651502,-0.15530958181676896,False,False,0.0,False,False,0.0,0.0,0.0016555670921304516,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-17,77.42,16.76,-2.0080010698574347,43.765902069189394,2.2475157513332924,False,True,0.0,True,False,-1.0,-1.0,0.06353409997594814,0.0,5.082614773462454,5.082614773462454,1.858755449607573,0.0497
2008-05-18,77.42,16.76,-2.029813635080793,43.400323476045905,2.098182589796526,False,False,0.0,False,False,-1.0,-1.0,-0.0032805065892748497,0.0032805065892748497,5.085895280051728,5.085895280051728,1.858755449607573,0.0497
2008-05-19,77.42,16.76,-2.0550337192217105,42.97763486584413,1.9343779492538364,False,False,0.0,False,False,-1.0,-1.0,-0.0037786489646884046,0.0037786489646884046,5.089673929016417,5.089673929016417,1.858755449607573,0.0497
2008-05-20,77.38,16.76,-2.081033713804512,42.50187495663637,1.7573261618294007,False,False,0.0,False,False,-1.0,-1.0,-0.004238088860151378,0.004238088860151378,5.093912017876568,5.093912017876568,1.858755449607573,0.0497
2008-05-21,76.37,16.76,-2.1041752760481156,41.10402237343359,1.2790655125522565,False,False,0.0,False,False,-1.0,-1.0,-0.01252152409036755,0.01252152409036755,5.106433541966935,5.106433541966935,1.858755449607573,0.0497
2008-05-22,76.57,16.76,-2.125365970941768,40.94886632701596,1.218343003318222,False,False,0.0,False,False,-1.0,-1.0,-0.001382961748740983,0.001382961748740983,5.107816503715676,5.107816503715676,1.858755449607573,0.0497
