Date,CC,CL,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,CL_CC_pair,sharpe,CAGR
2014-07-21,3082.0,103.13,-24.974811061200437,506.3477352583991,-1.097519225038013,False,False,0.0,False,False,0.0,0.0,0.0005307139728010587,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-22,3128.0,104.59,-24.956605482045106,517.7886326329021,-0.7965900039159672,False,False,0.0,False,False,0.0,0.0,0.001993808983678575,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-23,3131.0,104.42,-24.94698149984974,526.0361917856899,-0.5734590037214548,False,False,0.0,False,False,0.0,0.0,0.0014378680599373118,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-24,3185.0,103.12,-25.012196003647013,605.74234810392,1.3094736495943908,False,True,0.0,False,False,0.0,0.0,0.013827653295825835,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-25,3198.0,102.07,-25.110428149718093,634.9785987582745,1.906719424558502,False,False,0.0,False,False,0.0,0.0,0.005074838057024572,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-26,3194.0,102.09,-25.19877747620019,621.4568074547228,1.542338364830129,False,False,0.0,False,False,0.0,0.0,-0.002344869508830188,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-27,3194.0,102.09,-25.2788093684615,613.2863515737654,1.3194023998698468,False,False,0.0,False,False,0.0,0.0,-0.00141486771091829,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-28,3194.0,102.09,-25.35134160511935,605.8815355333654,1.1101493966875897,False,False,0.0,False,False,0.0,0.0,-0.001280640665857235,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-29,3165.0,101.67,-25.401451326669825,582.4344436174788,0.5806380018037517,False,False,0.0,False,False,0.0,0.0,-0.004079482293133525,-0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-30,3177.0,100.97,-25.471022101335564,605.1908984281481,1.0450861937046396,False,False,0.0,False,False,0.0,0.0,0.00395846416337728,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-07-31,3205.0,100.27,-25.575224876780062,640.5722016052632,1.7198076293130147,False,False,0.0,False,False,0.0,0.0,0.00613254978023288,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-08-01,3219.0,98.17,-25.731140723761012,692.9739151483814,2.6064508590553865,False,False,0.0,True,False,-1.0,-1.0,0.00912123161308006,0.0,9.08513615068896,9.08513615068896,1.9047817571275214,0.0578
2014-08-02,3207.0,97.88,-25.87433625523044,674.4199673380449,2.102134548251584,False,False,0.0,False,False,-1.0,-1.0,-0.003232631604534199,0.003232631604534199,9.088368782293495,9.088368782293495,1.9047817571275214,0.0578
2014-08-03,3207.0,97.88,-26.00497702780192,661.6328485187482,1.762347201974778,False,False,0.0,False,False,-1.0,-1.0,-0.0022229316179868566,0.0022229316179868566,9.090591713911481,9.090591713911481,1.9047817571275214,0.0578
2014-08-04,3207.0,97.88,-26.124018270472245,649.9810916861766,1.4611662002808186,False,False,0.0,False,False,-1.0,-1.0,-0.002021464019794517,0.002021464019794517,9.092613177931275,9.092613177931275,1.9047817571275214,0.0578
2014-08-05,3195.0,98.29,-26.21275994913152,618.5478245998629,0.827629687071414,False,False,0.0,False,False,-1.0,-1.0,-0.0054463358841112435,0.0054463358841112435,9.098059513815386,9.098059513815386,1.9047817571275214,0.0578
2014-08-06,3195.0,97.38,-26.312535207874976,632.6853214571347,1.0580476732998314,False,False,0.0,False,False,-1.0,-1.0,0.002455571329106141,-0.002455571329106141,9.09560394248628,9.09560394248628,1.9047817571275214,0.0578
2014-08-07,3219.0,96.92,-26.436343282586225,656.7896090517429,1.440887428943799,False,False,0.0,False,False,-1.0,-1.0,0.004169418852555289,-0.004169418852555289,9.091434523633724,9.091434523633724,1.9047817571275214,0.0578
2014-08-08,3232.0,97.34,-26.553492117911894,647.2830772424563,1.2142191339639639,False,False,0.0,False,False,-1.0,-1.0,-0.0016343466487242755,0.0016343466487242755,9.09306887028245,9.09306887028245,1.9047817571275214,0.0578
2014-08-09,3228.0,97.65,-26.64972834300369,625.6540273056894,0.7799081690953209,False,False,0.0,False,False,-1.0,-1.0,-0.0037097369586751553,0.0037097369586751553,9.096778607241124,9.096778607241124,1.9047817571275214,0.0578
2014-08-10,3228.0,97.65,-26.73630052276707,617.2002539517953,0.5908095845432568,False,False,0.0,False,False,-1.0,-1.0,-0.0014478614992089382,0.0014478614992089382,9.098226468740332,9.098226468740332,1.9047817571275214,0.0578
2014-08-11,3228.0,97.65,-26.814852825787774,609.5296215618237,0.41692661449560814,False,False,0.0,False,False,-1.0,-1.0,-0.0013120108190851289,0.0013120108190851289,9.099538479559417,9.099538479559417,1.9047817571275214,0.0578
2014-08-12,3222.0,98.08,-26.870779073652695,586.5139884561436,-0.06657220558115061,False,False,0.0,False,True,0.0,0.0,-0.003929268129760988,0.003929268129760988,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-13,3222.0,97.37,-26.936953264549217,599.1488606308426,0.15077056919242504,False,True,0.0,False,False,0.0,0.0,0.0021617098320253735,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-14,3219.0,97.59,-26.990491468320506,584.9979376066017,-0.18575612444216677,False,False,0.0,False,True,0.0,0.0,-0.0024177204917051305,-0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
2014-08-15,3215.0,95.58,-27.08277012717764,626.4288312443614,0.6842886037492732,False,True,0.0,False,False,0.0,0.0,0.007138861992562251,0.0,9.103467747689178,9.103467747689178,1.9047817571275214,0.0578
