Date,FC,LE,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,LE_FC_pair,sharpe,CAGR
1995-08-31,64.6,62.17,-1.0422427036650168,-0.1962288868541009,-1.8056734067167235,False,False,0.0,False,False,0.0,0.0,-0.003381558017695493,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-01,64.6,63.32,-1.0386606818962414,-1.1679943776700128,-1.818607918686279,False,False,0.0,False,False,0.0,0.0,-0.007454018875221418,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-02,64.85,64.17,-1.0343420913830967,-1.523732004053329,-1.408367058729356,False,False,0.0,False,False,0.0,0.0,-0.0027109244718960443,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-03,64.85,64.17,-1.0302664626101865,-1.2621989056956693,-0.8089259768550913,False,False,0.0,False,False,0.0,0.0,0.0019970121190923703,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-04,64.85,64.17,-1.026566866617262,-1.0247958308297171,-0.29420878389326116,False,False,0.0,False,False,0.0,0.0,0.001816052366784143,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-05,64.85,64.17,-1.0232315934807843,-0.8107713536619343,0.4070207944070875,False,True,0.0,False,False,0.0,0.0,0.0016398989520015402,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-06,65.02,64.5,-1.0200179283323492,-0.771156377436526,1.1286808119282388,False,False,0.0,False,False,0.0,0.0,0.0003028409603773021,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-07,65.0,64.02,-1.017675425469898,-0.15158073858286514,1.6342845838722735,False,False,0.0,False,False,0.0,0.0,0.004760415780874111,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-08,64.85,64.55,-1.014798536895675,-0.6552455566158244,0.33059816765600575,False,False,0.0,False,False,0.0,0.0,-0.0038637863469345992,-0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
1995-09-09,65.75,65.42,-1.0120975755479673,-0.4614233923480242,0.6047516756386422,False,False,0.0,False,False,0.0,0.0,0.0014687789755914323,0.0,1.15072140830194,1.15072140830194,1.0854171707760347,0.0153
