Date,PL,DC,hedge_ratio,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,portfolio_rets,cummulative_rets,DC_PL_pair,sharpe,CAGR
1993-02-26,345.0,10.89,-29.70196503088363,21.545600813677254,-1.3462118189974184,False,False,1.0,False,False,0.0,1.0,0.004318389497436673,0.004318389497436673,1.050432569723371,1.050432569723371,1.0425251197289018,0.0436
1993-02-27,345.8,10.89,-29.605711991560156,23.393796411909875,-1.1380672774491158,False,False,1.0,False,False,0.0,1.0,0.0027659060755621558,0.0027659060755621558,1.053198475798933,1.053198475798933,1.0425251197289018,0.0436
1993-02-28,345.8,10.89,-29.51437271073001,24.388481180150166,-1.0251912951668325,False,False,1.0,False,False,0.0,1.0,0.001490808746826896,0.001490808746826896,1.05468928454576,1.05468928454576,1.0425251197289018,0.0436
1993-03-01,345.8,10.74,-29.440093787595984,29.613392721219157,-0.4434616083621695,False,False,1.0,False,False,0.0,1.0,0.007892775297293342,0.007892775297293342,1.0625820598430533,1.0625820598430533,1.0425251197289018,0.0436
1993-03-02,345.8,10.74,-29.378652154963895,30.273275855687757,-0.36899675432916845,False,False,1.0,False,False,0.0,1.0,0.0009978171308930852,0.0009978171308930852,1.0635798769739464,1.0635798769739464,1.0425251197289018,0.0436
1993-03-03,341.0,10.74,-29.31505456789441,26.156313940814016,-0.8249055539027143,False,False,1.0,False,False,0.0,1.0,-0.006277352366707407,-0.006277352366707407,1.057302524607239,1.057302524607239,1.0425251197289018,0.0436
1993-03-04,341.5,10.74,-29.253020308129674,27.32256189068727,-0.6960021941083846,False,False,1.0,False,False,0.0,1.0,0.0017786915975577897,0.0017786915975577897,1.0590812162047967,1.0590812162047967,1.0425251197289018,0.0436
1993-03-05,341.4,10.74,-29.193399126059898,27.86289338611664,-0.6357370773341342,False,False,1.0,False,False,0.0,1.0,0.000825012798897531,0.000825012798897531,1.0599062290036942,1.0599062290036942,1.0425251197289018,0.0436
1993-03-06,343.5,10.74,-29.14218113480063,30.512974612241237,-0.34158706514385145,False,False,1.0,False,False,0.0,1.0,0.004036761007666997,0.004036761007666997,1.0639429900113613,1.0639429900113613,1.0425251197289018,0.0436
1993-03-07,343.5,10.74,-29.097743694396968,30.990232722176586,-0.28943179429065374,False,False,1.0,False,False,0.0,1.0,0.0007275167745074558,0.0007275167745074558,1.0646705067858688,1.0646705067858688,1.0425251197289018,0.0436
1993-03-08,343.5,10.74,-29.058865113220712,31.407788684009574,-0.24383951984943328,False,False,1.0,False,False,0.0,1.0,0.0006369141588714356,0.0006369141588714356,1.0653074209447402,1.0653074209447402,1.0425251197289018,0.0436
1993-03-09,342.2,10.74,-29.02135391444266,30.510658958885813,-0.3429459925592556,False,False,1.0,False,False,0.0,1.0,-0.001371990134745679,-0.001371990134745679,1.0639354308099944,1.0639354308099944,1.0425251197289018,0.0436
