Date,Open,High,Low,Last,Change,Price,Volume,Previous Day Open Interest
8/31/90,109.5,110,108,108,,108,291,685
9/4/90,108,109,108,108.95,,108.95,134,277
9/5/90,108.75,109,108,108.65,,108.65,167,303
9/6/90,109,109,106.5,106.75,,106.75,38,209
9/7/90,106,106,105.85,105.85,,105.85,3,195
9/10/90,102.85,102.85,102.85,102.85,,102.85,2,179
9/11/90,102,103.5,101.5,103.5,,103.5,6,135
9/12/90,103.65,103.65,103.65,103.65,,103.65,117,121
9/13/90,104,104.45,104,104.45,,104.45,4,126
9/14/90,104.5,104.5,104.15,104.15,,104.15,1,8
9/17/90,104.95,104.95,104.7,104.7,,104.7,2,5
9/18/90,104.75,104.75,104.75,104.75,,104.75,0,4
9/19/90,103.75,103.75,103.75,103.75,,103.75,19,7
9/20/90,104.75,104.75,102.2,102.2,,102.2,4,40
9/21/90,100,100.1,100,100.1,,100.1,1,26
9/24/90,100.75,100.75,100.75,100.75,,100.75,0,8
9/25/90,101.4,101.4,101.4,101.4,,101.4,0,0
9/26/90,101.25,101.5,99,99.75,,99.75,285,3919
9/27/90,98.25,98.5,95,97.3,,97.3,217,3972
9/28/90,96,97.25,95.2,96.45,,96.45,375,3885
10/1/90,96,97,96,96.25,,96.25,98,3888
10/2/90,98.5,100.5,98.5,99.5,,99.5,239,3936
10/3/90,99.25,100,99,99.85,,99.85,129,3900
10/4/90,99.75,99.85,98.6,98.8,,98.8,103,3907
10/5/90,99.5,102.75,99.5,101.55,,101.55,490,3828
10/8/90,100.75,101,100,100,,100,90,3779
10/9/90,100.5,102,99.8,100.1,,100.1,103,3756
10/10/90,100.5,100.5,98,98.75,,98.75,168,3653
10/11/90,93,96,93,94.3,,94.3,170,3587
10/12/90,93.5,95,93,94.6,,94.6,212,3605
10/15/90,90.5,92,88.6,88.6,,88.6,225,3600
10/16/90,89.25,89.25,84,87.85,,87.85,662,3451
10/17/90,89,90,88.5,88.85,,88.85,252,3268
10/18/90,89.5,91,89.5,90.5,,90.5,124,3276
10/19/90,91.75,94,91.75,93.45,,93.45,330,3283
10/22/90,92,95.75,92,95.5,,95.5,261,3261
10/23/90,95.5,96.25,94.7,96.15,,96.15,151,3272
10/24/90,95,95.5,94,95.5,,95.5,134,3280
10/25/90,94.75,95,94,94.75,,94.75,101,3173
10/26/90,94.75,95,94.25,94.5,,94.5,107,3187
10/29/90,95,96,94,95.35,,95.35,201,3209
10/30/90,95.5,96.9,95.25,96.85,,96.85,221,3293
10/31/90,97,97.75,95,95.85,,95.85,400,3296
11/1/90,95.5,96,95.5,95.5,,95.5,127,3254
11/2/90,94.75,95,92.5,92.95,,92.95,287,3212
11/5/90,93.25,94.5,93.25,94,,94,142,3158
11/6/90,94,95.5,94,95.1,,95.1,131,3140
11/7/90,94.25,95.35,94,94.7,,94.7,322,2971
11/8/90,94,94.25,93.5,93.5,,93.5,139,2835
11/9/90,93,93,91.5,92.4,,92.4,68,2805
11/12/90,92,92.5,91.75,92.5,,92.5,76,2763
11/13/90,94,94.75,94,94.25,,94.25,44,2765
11/14/90,94,94.25,91.75,92.25,,92.25,238,2723
11/15/90,92.5,92.5,91.5,92.25,,92.25,734,2395
11/16/90,94,94.5,91.75,92.5,,92.5,76,2120
11/19/90,92.5,93.25,92,92.9,,92.9,164,1996
11/20/90,93,93,92.3,92.3,,92.3,421,1879
11/21/90,93,93,91.7,91.85,,91.85,139,1773
11/23/90,94,94,93,93.55,,93.55,85,1785
11/26/90,94.5,94.5,93,93.3,,93.3,456,1223
11/27/90,93,93.75,92.5,93.15,,93.15,651,1118
11/28/90,93.5,93.75,92.45,92.45,,92.45,342,909
11/29/90,92.75,93.3,92.5,93,,93,440,684
11/30/90,92,93,90.25,90.85,,90.85,135,651
12/3/90,91,91.45,90,91.45,,91.45,126,315
12/4/90,92,92.75,92,92.7,,92.7,31,79
12/5/90,94,94,92.5,93.15,,93.15,22,82
12/6/90,93,93,93,93,,93,3,67
12/7/90,92.25,92.5,92.25,92.5,,92.5,28,78
12/10/90,91.25,92.4,91.25,92.4,,92.4,10,32
12/11/90,92,92.75,92,92.5,,92.5,6,27
12/12/90,92.5,92.5,91.55,91.55,,91.55,16,4
12/13/90,88.45,88.45,88.45,88.45,,88.45,0,2
12/14/90,87.9,87.9,87.15,87.15,,87.15,1,1
12/17/90,87.8,87.8,87.8,87.8,,87.8,0,2
12/18/90,87,87,87,87,,87,0,2
12/19/90,87.8,87.8,87.8,87.8,,87.8,0,2
12/20/90,90,90,87.7,87.7,,87.7,11,10
12/21/90,85.75,85.75,85.75,85.75,,85.75,0,35
12/26/90,85.75,85.75,85.75,85.75,,85.75,0,0
12/27/90,85.5,85.5,82,82.9,,82.9,224,3350
12/28/90,82.75,83,81.25,81.6,,81.6,92,3238
12/31/90,81.9,82,80.55,81.25,,81.25,88,3204
1/2/91,82,82.75,81.5,81.75,,81.75,93,3167
1/3/91,81.5,83.4,81.5,82.7,,82.7,93,3181
1/4/91,82.5,83.9,82.5,83.75,,83.75,83,3174
1/7/91,84.25,86.25,84,86.15,,86.15,180,3150
1/8/91,86.25,86.25,85.5,85.75,,85.75,115,3108
1/9/91,85.75,86.75,85.6,86,,86,208,3159
1/10/91,86.75,88,86.5,87.3,,87.3,138,3091
1/11/91,88,88.5,87,87.5,,87.5,150,3110
1/14/91,91,92.5,89.5,89.6,,89.6,257,3135
1/15/91,90,90,89,90,,90,245,2986
1/16/91,91.25,91.5,89,90.5,,90.5,88,2998
1/17/91,90.25,91.7,89,91.5,,91.5,362,2950
1/18/91,92,93,88.75,90,,90,154,2509
1/21/91,91.5,91.5,89.5,90.45,,90.45,122,2906
1/22/91,90.75,90.8,89,89.9,,89.9,159,2854
1/23/91,89,89.25,88,88.25,,88.25,169,2828
1/24/91,87.5,87.5,85.5,85.7,,85.7,169,2769
1/25/91,88.25,89.25,88.25,89.05,,89.05,184,2746
1/28/91,87.25,88,87.25,87.25,,87.25,192,2748
1/29/91,87.25,87.5,87.1,87.1,,87.1,48,2713
1/30/91,82,83.75,81.5,83.15,,83.15,201,2638
1/31/91,84,85,83.6,84.75,,84.75,243,2604
2/1/91,86.5,87,86,86.65,,86.65,104,2601
2/4/91,86.25,86.5,86,86.15,,86.15,214,2370
2/5/91,84.5,84.75,84.25,84.5,,84.5,220,2256
2/6/91,84.25,84.75,84,84.05,,84.05,207,2201
2/7/91,84.75,87,84.25,86.85,,86.85,291,2114
2/8/91,86.25,92.5,86.15,90.05,,90.05,752,2066
2/11/91,89.5,89.5,88.75,88.8,,88.8,115,1982
2/12/91,87.75,87.75,86.5,86.55,,86.55,134,1941
2/13/91,87.25,88,87.25,87.6,,87.6,276,1841
2/14/91,87.6,89,87.6,87.7,,87.7,167,1830
2/15/91,87.2,87.75,85.5,85.6,,85.6,224,1714
2/19/91,86,86,84,84.8,,84.8,301,1571
2/20/91,85,85,84,84.15,,84.15,98,1479
2/21/91,81.6,82.6,80.5,81.6,,81.6,400,1320
2/22/91,80.25,81.5,80.25,81.2,,81.2,197,1241
2/25/91,80.5,81.75,79.5,81.15,,81.15,246,1103
2/26/91,83,83,81.5,82.9,,82.9,467,831
2/27/91,84.5,84.5,83,84.05,,84.05,188,560
2/28/91,84,87.3,84,87.05,,87.05,311,532
3/1/91,86,86.5,85.5,86,,86,91,413
3/4/91,85.5,85.5,84.8,84.8,,84.8,10,237
3/5/91,83,83.4,82.75,83.4,,83.4,42,235
3/6/91,83,83.9,82.75,83.9,,83.9,7,194
3/7/91,84.95,84.95,84.95,84.95,,84.95,4,165
3/8/91,86.5,89,86.5,87.75,,87.75,16,254
3/11/91,88.5,88.5,87.25,87.4,,87.4,7,37
3/12/91,85.5,85.5,85.4,85.4,,85.4,1,25
3/13/91,86.65,86.65,86.65,86.65,,86.65,0,10
3/14/91,86.5,86.5,86,86.25,,86.25,5,13
3/15/91,87.4,87.4,87.4,87.4,,87.4,3,13
3/18/91,85.55,85.55,85.55,85.55,,85.55,0,5
3/19/91,86.5,86.5,86.5,86.5,,86.5,4,6
3/20/91,88.15,88.15,88.15,88.15,,88.15,0,4
3/21/91,88.35,88.35,88.35,88.35,,88.35,0,4
3/22/91,88,88,86.45,86.45,,86.45,1,4
3/25/91,84.65,84.65,84.65,84.65,,84.65,0,4
3/26/91,85.5,86,84.75,85.3,,85.3,181,2491
3/27/91,86,87,85.5,87,,87,223,2566
3/28/91,91.5,92.75,90.5,91.85,,91.85,272,2557
4/1/91,91.85,93.5,91.5,93,,93,312,2592
4/2/91,92,93,92,92.1,,92.1,164,2620
4/3/91,95,96.5,94.25,94.25,,94.25,333,2652
4/4/91,94,95,93.5,94.45,,94.45,198,2659
4/5/91,93.25,93.75,92.1,92.35,,92.35,141,2676
4/8/91,92.5,94,92.5,93.95,,93.95,131,2663
4/9/91,94.5,95.25,94.5,94.8,,94.8,169,2696
4/10/91,94.9,96,94.75,95.9,,95.9,215,2697
4/11/91,95,97,95,96.85,,96.85,504,2781
4/12/91,98.25,99,97.5,98.5,,98.5,366,2826
4/15/91,98.1,98.25,95.5,95.65,,95.65,294,2849
4/16/91,96.25,96.5,95.25,96.25,,96.25,150,2665
4/17/91,97,98.5,96.75,98.25,,98.25,142,2671
4/18/91,100,100.5,97.5,98,,98,523,2560
4/19/91,97.5,98,96.5,96.75,,96.75,193,2520
4/22/91,97.6,100.5,97,100.35,,100.35,243,2542
4/23/91,100.85,102.5,99.5,102.1,,102.1,361,2529
4/24/91,101.5,101.75,100.75,101.25,,101.25,358,2457
4/25/91,99.75,100.25,98,99.9,,99.9,353,2385
4/26/91,102.25,102.5,101.5,102.25,,102.25,251,2299
4/29/91,98.5,99.5,98.5,99.3,,99.3,220,2377
4/30/91,99.5,101.1,99.5,100.65,,100.65,295,2404
5/1/91,100.75,100.75,99.25,99.5,,99.5,167,2379
5/2/91,96.25,98.25,95.7,95.9,,95.9,314,2378
5/3/91,96.5,97.5,92.5,93.2,,93.2,395,2283
5/6/91,92.5,95.5,92,95.3,,95.3,290,2231
5/7/91,96,96.5,95.3,95.4,,95.4,254,2119
5/8/91,95.25,95.5,94.4,94.6,,94.6,309,2039
5/9/91,94,96,94,95.9,,95.9,225,2035
5/10/91,95.25,95.5,94.75,95.45,,95.45,107,1936
5/13/91,94.6,95,93.5,94.55,,94.55,229,1872
5/14/91,94.6,94.75,94.15,94.55,,94.55,36,1868
5/15/91,95.5,95.5,95,95.2,,95.2,146,1828
5/16/91,95,95.5,94.75,95.2,,95.2,68,1803
5/17/91,94,94.75,93.25,94.2,,94.2,185,1682
5/20/91,93.5,94.65,93.5,94.5,,94.5,402,1509
5/21/91,94.75,95.25,94.5,94.9,,94.9,90,1513
5/22/91,94.5,95.25,94.5,94.55,,94.55,183,1458
5/23/91,94.25,94.4,93.5,93.7,,93.7,243,1369
5/24/91,93.5,94.4,93,93.8,,93.8,160,1239
5/28/91,93.5,95,93,94.75,,94.75,264,1026
5/29/91,93.25,94.1,92.1,92.25,,92.25,553,728
5/30/91,97.5,102,97,98.05,,98.05,652,703
5/31/91,98.5,99,95.5,96.35,,96.35,537,548
6/3/91,95.75,96,94.5,95,,95,171,443
6/4/91,95,95.55,94.75,95.1,,95.1,78,151
6/5/91,95,95,93.5,93.95,,93.95,26,69
6/6/91,97,97,96.25,96.4,,96.4,9,57
6/7/91,96.25,97.25,96.25,96.7,,96.7,12,51
6/10/91,98.5,98.5,96.55,96.55,,96.55,44,73
6/11/91,96.5,97.5,96.5,96.8,,96.8,12,39
6/12/91,96.35,96.35,96.35,96.35,,96.35,3,20
6/13/91,95.8,95.8,95.8,95.8,,95.8,0,20
6/14/91,95.8,95.8,95.8,95.8,,95.8,0,21
6/17/91,95.9,95.9,95.9,95.9,,95.9,0,18
6/18/91,95.9,97,95.9,96.2,,96.2,12,19
6/19/91,97.85,97.85,97.85,97.85,,97.85,0,16
6/20/91,98.65,98.65,98.65,98.65,,98.65,8,24
6/21/91,99,99,98.3,98.3,,98.3,9,19
6/24/91,97.3,97.3,97.3,97.3,,97.3,11,42
6/25/91,96.55,96.55,96.55,96.55,,96.55,4,17
6/26/91,97.25,98.25,97.25,97.5,,97.5,119,3116
6/27/91,96.75,97.4,96.5,97.3,,97.3,59,3120
6/28/91,97.7,97.8,97,97.75,,97.75,149,3115
7/1/91,98,98.3,97.75,97.85,,97.85,86,3067
7/2/91,97,97.75,97,97.3,,97.3,147,3053
7/3/91,97,97.75,96.75,96.95,,96.95,96,3025
7/5/91,97.5,98,97.5,97.55,,97.55,40,3037
